english,description,translation,status,translator_note,placeholders,entry_id,row_id,kind,previous_translation,source_locations,source_revision
Composed Effects,User-facing product copy in the Reactant sample.,Composed Effects,translated,,,tx1_legeosvz3sr6kc3sidhg2fmnpu,row1_xtu3h3il4k2nh7tcp5x43humzq,message,,rules/src/composed_effects.rs:79:22,rev1_ff26bbd8163800115a306c6c162fe7e86787bb2d992d7b9cf1a39295d9289ade
SETTINGS READY,User-facing product copy in the Reactant sample.,SETTINGS READY,translated,,,tx1_gbie7tutorjfb4twiad2crojjm,row1_hdfpvmgikjtbf7u7k5wrnzhs3e,message,,rules/src/composed_effects.rs:260:30,rev1_f9ecaedd4877d0779c96b64bc190a88bd24c2380a0d7ab9e4b1da56a1c8a6048
[x] ENABLED,User-facing product copy in the Reactant sample.,[x] ENABLED,translated,,,tx1_2b4bszqvjcfv3akxpmgltyb5qy,row1_jmapy5rcrj7cf3qbsxtw43emuq,message,,rules/src/composed_effects.rs:361:7,rev1_95c1c7f48d82716ce1c28b2090807bb09f7a523ade04ade36ce64808a4a7ee54
[ ] ENABLE,User-facing product copy in the Reactant sample.,[ ] ENABLE,translated,,,tx1_2jzv35jhldkq76fckscg5t3xpm,row1_k7cj2xbwtsafz66zyoh6kbp2hm,message,,rules/src/composed_effects.rs:366:7,rev1_8eff29bb678cb6eb48ab7c1ebf3d60519f3d2f03f1937477ef36e7ac45c87b8f
COMPOSITION,User-facing product copy in the Reactant sample.,COMPOSITION,translated,,,tx1_d2qamatfd5zwmy4isusvb54gjm,row1_w7wjpfy4ikkfjhkeg7h5nfbooi,message,,rules/src/composition.rs:36:47,rev1_7179052f20b761dde8badf96c2e5ecb769ac8ebb31c0c42f4c365e2ac351bdce
Build declaratively,User-facing product copy in the Reactant sample.,Build declaratively,translated,,,tx1_ruoy6vfasi74mi72jjx4ccnj5e,row1_4loq2gjsz4xqzvojeideescoe4,message,,rules/src/composition.rs:43:47,rev1_b9fc223e38a6e8a17872dc4d9f581baabaa3e3faab4ca8f66dc683842de05bff
01  Required props,User-facing product copy in the Reactant sample.,01  Required props,translated,,,tx1_r2yw5ywfiw4aaugc6ijiisorcm,row1_nr7tuqgcgzn6jea2szkkdxjntq,message,,rules/src/composition.rs:94:23,rev1_0c1147ed7bf35098e7843c81f04c0d0850fe0d1158eba0fe50261d004fce85b3
02  Structural values,User-facing product copy in the Reactant sample.,02  Structural values,translated,,,tx1_vthu3dcmdx2ozgplzbpqk2bvsi,row1_4gtopfnnjk3777ffnabsfzafby,message,,rules/src/composition.rs:98:23,rev1_0650fa230b1e9d560d21b262a0fb6f8a47b0f51bef4ff4fd79f35426a5bde28c
03  Primitive children,User-facing product copy in the Reactant sample.,03  Primitive children,translated,,,tx1_env7lsnxpgvk7nl7xwuxllph3y,row1_hetde7wmafp7s3aixp62pza6f4,message,,rules/src/composition.rs:102:23,rev1_cbb58a6785e13c9483be3bf14a0900e15c3b011c45790b8682d67a203318976c
CONTEXT & MEMO,User-facing product copy in the Reactant sample.,CONTEXT & MEMO,translated,,,tx1_6tgj5kiokhekp5nqyrtdqpmxdu,row1_qe7nb45bdk6dxr6cytckuep7bq,message,,rules/src/context_memo.rs:52:47,rev1_32d84566e88a892de3efa7693a2b39f57fd73ef6ae7df1245d944a9a25990f9f
Values follow ancestry,User-facing product copy in the Reactant sample.,Values follow ancestry,translated,,,tx1_fwqiafait55gy3r7jj7dgkr63m,row1_7boodekv6qw7isefvtjqy2ftcy,message,,rules/src/context_memo.rs:59:47,rev1_8965bf675425773f3aa569f047b1ab671232d5c0a9a9482b6bcdfb1a969b3a7a
CONTEXT  Nearest provider wins,User-facing product copy in the Reactant sample.,CONTEXT  Nearest provider wins,translated,,,tx1_utjumad3r4sex6odbz7jnfoh6y,row1_jvcigm42qb2mppmli7og3lwjta,message,,rules/src/context_memo.rs:75:55,rev1_8244e48a1b1230c04c55b4ffbf271d07bf18b14aa5f657b8a58614b3953d1a4e
MEMO  Unrelated value,User-facing product copy in the Reactant sample.,MEMO  Unrelated value,translated,,,tx1_qpolpnvzmf5mlnhngc7dpz2zt4,row1_2ds3wj4dhueutfikf2jdeibtny,message,,rules/src/context_memo.rs:106:51,rev1_ad43311b2fa677c1e118f3b42efd88ba57c511530cddfade64e2b1bbf05f758f
